OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
17-04_NSC-S_001_L	0	17-04_NSC-S_01_L.mp4	26956	14.9905	Analysis	0.0000	574.04	316.04	0	0										
17-04_NSC-S_001_L	1	17-04_NSC-S_01_L.mp4	27000	15.0150	Analysis	0.0245	149.75	72.48	0	0	Carangidae			4000	1	AD	Passing			
17-04_NSC-S_001_L	2	17-04_NSC-S_01_L.mp4	27000	15.0150	Analysis	0.0245	254.34	201.98	0	0	Carangidae			4000	1	AD	Passing			
17-04_NSC-S_001_L	3	17-04_NSC-S_01_L.mp4	27180	15.1151	Analysis	0.1246	993.57	143.76	0	0	Oplegnathidae	Oplegnathus	conwayi	25001	1	AD	Passing			
17-04_NSC-S_001_L	4	17-04_NSC-S_01_L.mp4	27215	15.1346	Analysis	0.1440	190.16	28.51	0	0	Carangidae			4000	1	AD	Passing			
17-04_NSC-S_001_L	5	17-04_NSC-S_01_L.mp4	27215	15.1346	Analysis	0.1440	468.26	20.20	0	0	Carangidae			4000	1	AD	Passing			
17-04_NSC-S_001_L	6	17-04_NSC-S_01_L.mp4	27215	15.1346	Analysis	0.1440	826.00	8.32	0	0	Carangidae			4000	1	AD	Passing			
17-04_NSC-S_001_L	7	17-04_NSC-S_01_L.mp4	27291	15.1768	Analysis	0.1863	1152.83	118.81	0	0	Sciaenidae			30000	1	AD	Passing			
17-04_NSC-S_001_L	8	17-04_NSC-S_01_L.mp4	27291	15.1768	Analysis	0.1863	1104.10	213.86	0	0	Sciaenidae			30000	1	AD	Passing			
17-04_NSC-S_001_L	9	17-04_NSC-S_01_L.mp4	27364	15.2174	Analysis	0.2269	1189.68	326.73	0	0	Sparidae			34000	2	AD	Passing			
17-04_NSC-S_001_L	10	17-04_NSC-S_01_L.mp4	27394	15.2341	Analysis	0.2436	1164.72	229.31	0	0	Sparidae			34000	1					
17-04_NSC-S_001_L	11	17-04_NSC-S_01_L.mp4	27534	15.3120	Analysis	0.3214	897.31	43.96	0	0	Pomacanthidae	Pomacanthus	rhomboides	78001	1	AD	Passing			
17-04_NSC-S_001_L	12	17-04_NSC-S_01_L.mp4	27604	15.3509	Analysis	0.3604	1091.03	54.65	0	0	Pomacanthidae	Pomacanthus	rhomboides	78001	1	AD	Passing			
17-04_NSC-S_001_L	13	17-04_NSC-S_01_L.mp4	27604	15.3509	Analysis	0.3604	974.56	24.95	0	0	Pomacanthidae	Pomacanthus	rhomboides	78001	1	AD	Passing			
