OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
14-01_Pondo_12	0	14-01_Pondo_12_L_Cam6.avi	5669	3.77933	Analysis time	0.00000	928.75740	571.26316	0.00000	0.00000								Time on seabed		
14-01_Pondo_12	1	14-01_Pondo_12_L_Cam6.avi	6064	4.04267	Analysis time	0.26333	1229.82249	622.42105	0.00000	0.00000	Sparidae	Chrysoblephus	anglicus	34006	1	AD	Feeding			
14-01_Pondo_12	2	14-01_Pondo_12_L_Cam6.avi	6334	4.22267	Analysis time	0.44333	715.73964	753.15789	0.00000	0.00000	Sparidae	Chrysoblephus	anglicus	34006	1	J	Feeding			
14-01_Pondo_12	3	14-01_Pondo_12_L_Cam6.avi	6334	4.22267	Analysis time	0.44333	1337.75148	670.73684	0.00000	0.00000	Sparidae	Chrysoblephus	anglicus	34006	1	AD	Feeding			
14-01_Pondo_12	4	14-01_Pondo_12_L_Cam6.avi	6560	4.37333	Analysis time	0.59400	1564.97041	602.52632	0.00000	0.00000	Sparidae	Chrysoblephus	anglicus	34006	1	AD	Passing			
14-01_Pondo_12	5	14-01_Pondo_12_L_Cam6.avi	7275	4.85000	Analysis time	1.07067	985.56213	790.10526	0.00000	0.00000	Sparidae	Chrysoblephus	puniceus	34011	1	J	Passing			
14-01_Pondo_12	6	14-01_Pondo_12_L_Cam6.avi	7404	4.93600	Analysis time	1.15667	1760.94675	659.36842	0.00000	0.00000	Sparidae	Chrysoblephus	puniceus	34011	1	AD	Passing			
14-01_Pondo_12	7	14-01_Pondo_12_L_Cam6.avi	8112	5.40800	Analysis time	1.62867	852.07101	855.47368	0.00000	0.00000	Sparidae	Chrysoblephus	puniceus	34011	1	AD	Passing			
14-01_Pondo_12	8	14-01_Pondo_12_L_Cam6.avi	8332	5.55467	Analysis time	1.77533	1454.20118	676.42105	0.00000	0.00000	Lethrinidae	Lethrinus	nebulosus	18002	1	AD	Passing			
14-01_Pondo_12	9	14-01_Pondo_12_L_Cam6.avi	9301	6.20067	Analysis time	2.42133	227.21893	801.47368	0.00000	0.00000	Lethrinidae	Lethrinus	nebulosus	18002	1	J	Passing			
14-01_Pondo_12	10	14-01_Pondo_12_L_Cam6.avi	10615	7.07667	Analysis time	3.29733	275.50296	230.21053	0.00000	0.00000	Pomacanthidae	Pomacanthus	rhomboides	78001	1	AD	Passing			
14-01_Pondo_12	11	14-01_Pondo_12_L_Cam6.avi	12211	8.14067	Analysis time	4.36133	735.62130	679.26316	0.00000	0.00000	Sparidae	Polysteganus	praeorbitalis	34024	1	AD	Passing			
14-01_Pondo_12	12	14-01_Pondo_12_L_Cam6.avi	12347	8.23133	Analysis time	4.45200	1422.95858	599.68421	0.00000	0.00000	Sparidae	Cymatoceps	nasutus	34012	1	AD	Passing			
14-01_Pondo_12	13	14-01_Pondo_12_L_Cam6.avi	12473	8.31533	Analysis time	4.53600	1601.89349	463.26316	0.00000	0.00000	Sparidae	Chrysoblephus	puniceus	34011	1	AD	Passing			
14-01_Pondo_12	14	14-01_Pondo_12_L_Cam6.avi	12863	8.57533	Analysis time	4.79600	1445.68047	866.84211	0.00000	0.00000	Serranidae	Epinephelus	andersoni	33002	1	AD	Passing			
14-01_Pondo_12	15	14-01_Pondo_12_L_Cam6.avi	12946	8.63067	Analysis time	4.85133	1488.28402	511.57895	0.00000	0.00000	Sparidae	Chrysoblephus	puniceus	34011	1	AD	Passing			
14-01_Pondo_12	16	14-01_Pondo_12_L_Cam6.avi	13053	8.70200	Analysis time	4.92267	1366.15385	508.73684	0.00000	0.00000	Sparidae	Cymatoceps	nasutus	34012	1	AD	Feeding			
14-01_Pondo_12	17	14-01_Pondo_12_L_Cam6.avi	13357	8.90467	Analysis time	5.12533	1530.88757	702.00000	0.00000	0.00000	Mullidae	Parupeneus	rubescens	86002	1	AD	Passing			
14-01_Pondo_12	18	14-01_Pondo_12_L_Cam6.avi	14245	9.49667	Analysis time	5.71733	1278.10651	645.15789	0.00000	0.00000	Sparidae	Chrysoblephus	puniceus	34011	1	AD	Passing			
14-01_Pondo_12	19	14-01_Pondo_12_L_Cam6.avi	14245	9.49667	Analysis time	5.71733	1400.23669	611.05263	0.00000	0.00000	Sparidae	Chrysoblephus	puniceus	34011	1	AD	Passing			
14-01_Pondo_12	20	14-01_Pondo_12_L_Cam6.avi	14245	9.49667	Analysis time	5.71733	1667.21893	542.84211	0.00000	0.00000	Sparidae	Chrysoblephus	puniceus	34011	1	AD	Passing			
