species,number
Sparidae Chrysoblephus anglicus,1
Sparidae Cheimerius nufar,2
Chaetodontidae Chaetodon marleyi,3
Mullidae Parupeneus macronemus,4
Dasyatidae Dasyatis chrysonota,5
Sparidae Rhabdosargus holubi,6
Sparidae Chrysoblephus puniceus,7
Labridae Bodianus trilineatus,8
Serranidae Serranus knysnaensis,9
Serranidae Epinephelus andersoni,10
Sparidae Polysteganus praeorbitalis,11
Sparidae Pachymetopon aeneum,12
Oplegnathidae Oplegnathus conwayi,13
Serranidae Aulacocephalus temminckii,14
Carangidae Seriola dumerili,15
Zeidae Zeus faber,16
Mullidae Parupeneus rubescens,17
Sparidae Chrysoblephus lophus,18
Scombridae Scomberoides sp,19
Carangidae Seriola lalandi,20
Sparidae Petrus rupestris,21
Sparidae Chrysoblephus cristiceps,22
Sparidae Argyrops spinifer,23
Sparidae Diplodus hottentotus,24
Triakidae Scylliogaleus quecketti,25
Cheilodactylidae Chirodactylus jessicalenorum,26
Tetraodontidae Arothron immaculatus,27
Pomacentridae Chromis woodsi,29
Serranidae Epinephelus albomarginatus,30
Cheilodactylidae Chirodactylus brachydactylus,31
Serranidae Lipropoma spp1,33
Sparidae Pagellus bellottii natalensis,35
Sparidae Cymatoceps nasutus,36
Carcharhinidae Carcharhinus brachyurus,37
Tetraodontidae Amblyrhynchotes honckenii,38
Carcharhinidae Galeocerdo cuvier,40
Rhinobatidae Rhinobatos annulatus,41
Acanthuridae Acanthurus dussumieri,43
Labridae Bodianus bilunulatus,73
Labridae Coris caudimacula,74
Lethrinidae Lethrinus nebulosus,83
Oplegnathidae Oplegnathus robinsoni,91
Pomacanthidae Pomacanthus rhomboides,94
Serranidae Epinephelus marginatus,102
Sparidae Polyamblydon germanum,109
Sparidae Porcostoma dentata,120
Ariidae Galeichthys trowi,121
